FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime
06_55 0490,Bridge,-117.9118028,33.85359444,1959,3,2.4,7.9,32.1,15,3-span;15.0 deg skew;7.9 m structure Length;2.4 m Max Span Length; Built 1959;NBI 119,119,HWB5,Unknown,760,7.508384772,346.467279,Complete,232110.9813,125
06_55C0288,Bridge,-117.9230806,33.87894167,1966,2,6.4,13.7,23.7,51,2-span;51.0 deg skew;13.7 m structure Length;6.4 m Max Span Length; Built 1966;NBI 119,119,HWB5,Unknown,760,5.781841251,533.0572993,Complete,394700.2376,122
06_55C0308,Bridge,-117.9200333,33.86831389,1978,4,13.7,48.5,16.8,0,4-span;0.0 deg skew;48.5 m structure Length;13.7 m Max Span Length; Built 1978;NBI 505,505,HWB17,Unknown,760,6.323099643,463.2861412,Complete,554311.0198,115
06_55C0295,Bridge,-117.9197833,33.86309444,1977,2,5.2,11.3,23.8,0,2-span;0.0 deg skew;11.3 m structure Length;5.2 m Max Span Length; Built 1977;NBI 119,119,HWB5,Unknown,760,6.60560059,431.4058593,Complete,359437.3383,110
06_55C0291,Bridge,-117.9375306,33.87446111,1939,1,8.2,24.4,22.4,99,1-span;99.0 deg skew;24.4 m structure Length;8.2 m Max Span Length; Built 1939;NBI 104,104,HWB3,Unknown,760,5.522097329,571.1786793,Complete,618182.2747,108
06_55C0292,Bridge,-117.9762306,33.8681,1958,1,9.4,10.4,24.4,0,1-span;0.0 deg skew;10.4 m structure Length;9.4 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.223704175,475.2024351,Complete,238915.3788,95
06_55C0196,Bridge,-118.0026306,33.87797778,1960,2,11,21.9,11,0,2-span;0.0 deg skew;21.9 m structure Length;11 m Max Span Length; Built 1960;NBI 501,501,HWB17,Unknown,760,7.196275228,373.2081863,Complete,254667.5202,96
06_55C0197,Bridge,-117.9959472,33.87725,1950,1,15.2,15.5,10.7,0,1-span;0.0 deg skew;15.5 m structure Length;15.2 m Max Span Length; Built 1950;NBI 501,501,HWB3,Unknown,760,6.81183476,409.8615616,Complete,180881.167,95
06_55C0232,Bridge,-117.9802,33.86653056,1958,1,10.7,11,9.8,28,1-span;28.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.455239842,448.0182674,Extensive,26427.53311,75
06_55 0296F,Bridge,-117.9765444,33.857275,1958,3,32.2,54.6,13.5,12,3-span;12.0 deg skew;54.6 m structure Length;32.2 m Max Span Length; Built 1958;NBI 302,302,HWB12,MSSTEEL,760,6.855516279,405.4738745,Extensive,246622.9818,74
06_55C0354,Bridge,-117.9077972,33.85177222,1961,2,8.2,16.8,12.2,12,2-span;12.0 deg skew;16.8 m structure Length;8.2 m Max Span Length; Built 1961;NBI 501,501,HWB17,Unknown,760,7.80444443,323.3235543,Extensive,62650.81637,65
06_55 0280,Bridge,-117.9594722,33.853725,1958,4,12.8,41.6,44.3,1,4-span;1.0 deg skew;41.6 m structure Length;12.8 m Max Span Length; Built 1958;NBI 302,302,HWB12,MSSTEEL,760,6.702708747,421.0879056,Extensive,465296.7698,68
06_55C0141,Bridge,-117.8778556,33.86101389,1969,3,3,9.8,38.1,0,3-span;0.0 deg skew;9.8 m structure Length;3 m Max Span Length; Built 1969;NBI 119,119,HWB5,Unknown,760,9.027613966,246.3835023,Extensive,85343.19439,62
06_55C0418,Bridge,-117.9090167,33.87036667,1979,2,3,6.7,25.3,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1979;NBI 119,119,HWB5,Unknown,760,6.734960832,417.7300036,Extensive,42627.67389,52
06_55 0216,Bridge,-117.9116056,33.85357222,1959,4,24.7,73.3,55.2,0,4-span;0.0 deg skew;73.3 m structure Length;24.7 m Max Span Length; Built 1959;NBI 302,302,HWB12,MSSTEEL,760,7.518299271,345.6585406,Extensive,1383908.508,58
06_55 0320K,Bridge,-117.9445389,33.85438611,1958,3,7.6,23.2,10.8,70,3-span;70.0 deg skew;23.2 m structure Length;7.6 m Max Span Length; Built 1958;NBI 119,119,HWB5,Unknown,760,6.608295105,431.1152919,Extensive,58127.13726,59
06_55C0228,Bridge,-117.9265,33.87415,1934,1,14,14.6,12.5,20,1-span;20.0 deg skew;14.6 m structure Length;14 m Max Span Length; Built 1934;NBI 101,101,HWB3,MSRC-Slab,760,5.825617859,526.9472124,Extensive,54020.83884,55
06_55C0243,Bridge,-117.9329694,33.86293333,1958,1,8.2,8.5,15.2,0,1-span;0.0 deg skew;8.5 m structure Length;8.2 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.208091786,477.108897,Moderate,13549.1441,25
06_55C0346,Bridge,-117.8890528,33.85798333,1969,3,2.4,7.6,45.1,0,3-span;0.0 deg skew;7.6 m structure Length;2.4 m Max Span Length; Built 1969;NBI 119,119,HWB5,Unknown,760,8.449377416,279.3955112,Moderate,36089.42349,26
