,FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime,exists_in_netfile
56,06_55C0674,Bridge,-117.92215829999999,33.81830556,2000,2,7.9,87.1,10.1,0,2-span;0.0 deg skew;87.1 m structure Length;7.9 m Max Span Length; Built 2000;NBI 201,201,HWB11,MCRC-Slab,760,10.0212958,200.694793,No Damage,0.0,0,1
57,06_55C0227,Bridge,-117.9286639,33.87397222,1922,1,11.3,11.9,12.5,0,1-span;0.0 deg skew;11.9 m structure Length;11.3 m Max Span Length; Built 1922;NBI 101,101,HWB3,MSRC-Slab,760,5.762833894,535.7376563999999,No Damage,0.0,0,0
58,06_55C0200,Bridge,-118.0111056,33.86196667,1950,3,6.1,18.9,28.3,0,3-span;0.0 deg skew;18.9 m structure Length;6.1 m Max Span Length; Built 1950;NBI 201,201,HWB10,MCRC-Slab,760,8.318220841,287.67291800000004,No Damage,0.0,0,0
59,06_55C0225,Bridge,-117.93304440000001,33.87395556,1940,1,14.6,14.6,14.5,20,1-span;20.0 deg skew;14.6 m structure Length;14.6 m Max Span Length; Built 1940;NBI 101,101,HWB3,MSRC-Slab,760,5.6409910110000006,553.323166,No Damage,0.0,0,0
60,06_55C0143,Bridge,-117.8392611,33.86804167,1964,3,4.9,15.5,29.3,99,3-span;99.0 deg skew;15.5 m structure Length;4.9 m Max Span Length; Built 1964;NBI 119,119,HWB5,Unknown,760,11.67949754,146.7196517,No Damage,0.0,0,0
61,06_55C0050,Bridge,-117.87991389999999,33.79566389,1966,7,16.2,106.4,21.6,20,7-span;20.0 deg skew;106.4 m structure Length;16.2 m Max Span Length; Built 1966;NBI 204,204,HWB10,Unknown,760,13.54893003,107.2388032,No Damage,0.0,0,1
62,06_55C0051,Bridge,-117.9907361,33.86291667,1959,1,10.4,11.0,29.6,21,1-span;21.0 deg skew;11.0 m structure Length;10.4 m Max Span Length; Built 1959;NBI 501,501,HWB3,Unknown,760,7.116582436,380.45359510000003,No Damage,0.0,0,1
63,06_55C0069,Bridge,-117.8623889,33.80886667,1959,2,3.0,9.4,36.1,42,2-span;42.0 deg skew;9.4 m structure Length;3 m Max Span Length; Built 1959;NBI 119,119,HWB5,Unknown,760,13.31829114,111.23090230000001,No Damage,0.0,0,0
64,06_55C0072,Bridge,-117.93489720000001,33.80306944,1963,3,2.4,7.9,36.9,4,3-span;4.0 deg skew;7.9 m structure Length;2.4 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.26388127,158.1880083,No Damage,0.0,0,0
65,06_55C0078,Bridge,-117.825925,33.86642778,1964,2,3.0,6.7,24.8,10,2-span;10.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1964;NBI 119,119,HWB5,Unknown,760,12.80746091,120.8606586,No Damage,0.0,0,0
66,06_55C0091,Bridge,-117.95851940000001,33.79772778,1963,2,3.0,6.7,43.3,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.74546968,145.00535,No Damage,0.0,0,1
67,06_55C0102,Bridge,-117.94145,33.84166944,1959,1,10.7,11.0,32.2,0,1-span;0.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1959;NBI 501,501,HWB3,Unknown,760,7.626541181,336.9841566,No Damage,0.0,0,0
68,06_55C0111,Bridge,-117.8356722,33.84766389,1967,13,20.7,262.7,22.9,99,13-span;99.0 deg skew;262.7 m structure Length;20.7 m Max Span Length; Built 1967;NBI 204,204,HWB1,Unknown,760,12.68917108,123.2581179,No Damage,0.0,0,0
